,gross_profit_assets,book_to_market,market_cap_cr,asset_growth_yoy,dividend_yield_pct,beta_nifty50
RAMCOCEM.NS,0.25002,0.32857,22649.0,0.00349,0.0,0.9084
JKCEMENT.NS,0.52673,0.13589,44808.0,0.12697,0.0,0.8802
LT.NS,0.2188,0.17511,557695.0,0.1158,0.0,1.24
SIEMENS.NS,0.26488,0.09612,137619.0,-0.21328,0.0,1.4222
ABB.NS,0.33337,0.04881,160531.0,0.10065,0.0,0.8874
BHEL.NS,0.12499,0.2103,117554.0,0.15391,0.0,1.8401
BEL.NS,0.2675,0.06073,328904.0,0.03302,0.0,1.3892
HAL.NS,0.11903,0.12018,291084.0,0.36074,0.0,1.7455
HAVELLS.NS,0.50509,0.11961,79053.0,0.06784,0.0,1.1497
VOLTAS.NS,0.25434,0.13618,47829.0,0.09275,0.0,0.9322
CUMMINSIND.NS,0.33669,0.05269,143504.0,0.13355,0.0,1.0444
GMRAIRPORT.NS,0.04491,0.01,101831.0,0.00151,0.0,1.7486
NCC.NS,0.13916,0.70636,10368.0,0.16074,0.0,1.6321
PIDILITIND.NS,0.50195,0.06836,142702.0,0.15759,0.0,0.9989
DEEPAKNTR.NS,0.2336,0.22812,23622.0,0.26598,0.0,1.6101
NAVINFLUOR.NS,0.25406,0.08153,32210.0,0.10358,0.0,0.7824
AARTIIND.NS,0.158,0.33137,16915.0,0.0987,0.0,1.4987
GALAXYSURF.NS,0.3715,0.3587,6586.0,0.18781,0.0,1.1565
FLUOROCHEM.NS,0.2772,0.19927,36397.0,0.14882,0.0,1.0592
BERGEPAINT.NS,0.51239,0.11262,54645.0,0.09117,0.0,1.1132
DMART.NS,0.35557,0.07268,294838.0,0.14842,0.0,0.9351
TRENT.NS,0.75111,0.0462,151169.0,0.24512,0.0,1.6967
TITAN.NS,0.31449,0.0294,395312.0,0.28834,0.0,1.0614
KALYANKJIL.NS,0.21055,0.11266,42637.0,0.18008,0.0,1.3669
JUBLFOOD.NS,0.43935,0.06487,32414.0,0.04946,0.0,1.315
DIXON.NS,0.15695,0.04563,65971.0,1.3982,0.0,0.9621
AMBER.NS,0.17312,0.08333,27432.0,0.2783,0.0,0.694
PVRINOX.NS,0.23124,0.7145,9869.0,-0.03317,0.0,0.8627
LODHA.NS,0.10876,0.23584,85557.0,0.05538,0.0,1.9258
BHARTIARTL.NS,0.22582,0.10135,1121562.0,0.15709,0.0,0.9359
INDUSTOWER.NS,0.29561,0.3045,106726.0,0.13071,0.0,1.2964
TATACOMM.NS,0.48663,0.06706,45050.0,0.08237,0.0,1.8031
INDIGO.NS,0.11445,0.05318,176156.0,0.40887,0.0,1.4017
BLUEDART.NS,0.26854,0.12279,12697.0,0.05833,0.0,1.1296
DELHIVERY.NS,0.0573,0.28024,33657.0,0.05327,0.0,0.7503
CONCOR.NS,0.06392,0.32185,38466.0,0.03095,0.0,1.3722
DLF.NS,0.05491,0.28998,146736.0,0.15288,0.0,1.6121
GODREJPROP.NS,0.03379,0.32092,53946.0,0.55214,0.0,1.8853
PRESTIGE.NS,0.09934,0.25868,59622.0,0.2118,0.0,1.9088
BRIGADE.NS,0.12066,0.29368,19199.0,0.23503,0.0,1.4556
OBEROIRLTY.NS,0.14931,0.25293,62092.0,0.15833,0.0,1.144
PHOENIXLTD.NS,0.15596,0.16364,63849.0,0.11935,0.0,1.231
ASIANPAINT.NS,0.4683,0.08026,241700.0,0.01495,0.0,1.1528
KANSAINER.NS,0.32619,0.3957,16232.0,0.10895,0.0,1.0503
UPL.NS,0.24699,0.5933,54271.0,0.00521,0.0,0.8387
PIIND.NS,0.33359,0.21812,46567.0,0.14053,0.0,1.1976
COROMANDEL.NS,-0.10843,0.18444,60117.0,0.19406,0.0,1.2745
CHAMBLFERT.NS,0.6271,0.4874,17907.0,-0.00889,0.0,1.0999
SBICARD.NS,0.02924,0.21281,64761.0,0.12677,0.0,1.035
ABCAPITAL.NS,0.05216,0.33156,91653.0,0.20232,0.0,1.5608
ANGELONE.NS,0.16014,0.19213,29258.0,0.27425,0.0,0.4524
MFSL.NS,0.00254,0.0958,55060.0,0.16726,0.0,1.1053
CANFINHOME.NS,0.02092,0.42295,11981.0,0.10682,0.0,1.229
PNBHOUSING.NS,0.0245,0.73197,26257.0,0.1332,0.0,1.3467
SCHAEFFLER.NS,0.39507,0.09169,65962.0,0.1932,0.0,1.1294
TIMKEN.NS,0.30835,0.10506,27079.0,0.14653,0.0,1.1837
ASTRAL.NS,0.432,0.08549,42310.0,0.12408,0.0,0.8318
SUNTV.NS,0.24189,0.47224,24664.0,0.10643,0.0,1.2598
ZEEL.NS,0.27398,1.31676,8759.0,0.02115,0.0,1.2738
RAYMOND.NS,0.08737,1.25819,2954.0,-0.41423,0.0,1.2685
