Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,Ticker,Revenue +,Financing Profit,Financing Margin %,Borrowing,Deposits,Raw PDF
Mar 2024,19959.0,16897.0,3062.0,15%,735.0,155.0,883.0,2759.0,15%,2337.0,124.42,6%,188.0,16142.0,355.0,6701.0,23386.0,10025.0,986.0,811.0,11564.0,23386.0,ACC.NS,,,,,,
Mar 2025,21762.0,18701.0,3061.0,14%,1175.0,108.0,1001.0,3127.0,23%,2402.0,127.92,6%,188.0,18367.0,430.0,6428.0,25413.0,10829.0,2061.0,1509.0,11013.0,25413.0,ACC.NS,,,,,,
Mar 2015,131.0,29.0,101.0,78%,3.0,73.0,37.0,-5.0,34%,-7.0,-0.06,0%,1090.0,-7.0,9701.0,708.0,11492.0,10573.0,10.0,0.0,909.0,11492.0,ADANIENSOL.NS,,,,,,
Mar 2016,2194.0,267.0,1927.0,88%,70.0,957.0,560.0,480.0,23%,368.0,3.35,0%,1100.0,1572.0,8585.0,489.0,11746.0,10060.0,258.0,20.0,1407.0,11746.0,ADANIENSOL.NS,,,,,,
Mar 2017,2876.0,893.0,1983.0,69%,22.0,904.0,569.0,532.0,22%,416.0,3.79,0%,1100.0,1847.0,8975.0,890.0,12811.0,9853.0,1343.0,105.0,1510.0,12811.0,ADANIENSOL.NS,,,,,,
Mar 2018,3944.0,1118.0,2826.0,72%,111.0,886.0,579.0,1472.0,22%,1143.0,10.39,0%,1100.0,4957.0,10428.0,781.0,17265.0,9291.0,2353.0,0.0,5621.0,17265.0,ADANIENSOL.NS,,,,,,
Mar 2019,7305.0,4528.0,2778.0,38%,336.0,1391.0,882.0,840.0,33%,559.0,5.08,0%,1100.0,6943.0,20137.0,4379.0,32558.0,24412.0,694.0,336.0,7117.0,32558.0,ADANIENSOL.NS,,,,,,
Mar 2020,11416.0,7158.0,4258.0,37%,261.0,2238.0,1174.0,1107.0,36%,706.0,6.74,0%,1100.0,7399.0,24246.0,6966.0,39711.0,24924.0,2212.0,313.0,12262.0,39711.0,ADANIENSOL.NS,,,,,,
Mar 2021,9926.0,5976.0,3950.0,40%,1115.0,2117.0,1329.0,1620.0,20%,1290.0,11.13,0%,1100.0,7819.0,27095.0,7219.0,43234.0,26987.0,5255.0,442.0,10550.0,43234.0,ADANIENSOL.NS,,,,,,
Mar 2022,11258.0,7051.0,4206.0,37%,1286.0,2365.0,1427.0,1700.0,27%,1236.0,10.95,0%,1100.0,8813.0,29902.0,7650.0,47464.0,30272.0,5060.0,561.0,11572.0,47464.0,ADANIENSOL.NS,,,,,,
Mar 2023,13293.0,8775.0,4518.0,34%,1583.0,2781.0,1608.0,1712.0,25%,1281.0,11.26,0%,1115.0,10634.0,34270.0,7913.0,53932.0,32645.0,6200.0,1370.0,13716.0,53932.0,ADANIENSOL.NS,,,,,,
Mar 2024,16607.0,10896.0,5711.0,34%,611.0,2767.0,1776.0,1780.0,33%,1196.0,10.2,0%,1115.0,11526.0,37070.0,8827.0,58538.0,38920.0,3003.0,766.0,15849.0,58538.0,ADANIENSOL.NS,,,,,,
Mar 2025,23767.0,16701.0,7067.0,30%,-827.0,3259.0,1906.0,1075.0,14%,922.0,8.82,0%,1201.0,20867.0,40275.0,11559.0,73902.0,39555.0,5702.0,2638.0,26007.0,73902.0,ADANIENSOL.NS,,,,,,
Mar 2026,27588.0,19599.0,7989.0,29%,737.0,3633.0,1978.0,3115.0,23%,2393.0,19.0,0%,1201.0,24226.0,49176.0,18231.0,92835.0,46804.0,2054.0,2644.0,41334.0,92835.0,ADANIENSOL.NS,,,,,,
Mar 2014,54947.0,45564.0,9383.0,17%,1157.0,5703.0,3223.0,1614.0,-64%,2646.0,18.03,7%,110.0,23647.0,71980.0,22365.0,118102.0,70579.0,13574.0,288.0,33661.0,118102.0,ADANIENT.NS,,,,,,
Mar 2015,64465.0,52015.0,12450.0,19%,792.0,7056.0,3522.0,2663.0,14%,2298.0,15.81,8%,110.0,25618.0,83571.0,21420.0,130718.0,83834.0,6733.0,744.0,39407.0,130718.0,ADANIENT.NS,,,,,,
Mar 2016,34008.0,32325.0,1684.0,5%,1044.0,1357.0,314.0,1056.0,7%,1000.0,8.21,4%,110.0,13268.0,19169.0,9132.0,41679.0,10473.0,7705.0,805.0,22696.0,41679.0,ADANIENT.NS,,,,,,
Mar 2017,36533.0,34631.0,1902.0,5%,749.0,1257.0,315.0,1079.0,25%,925.0,8.02,4%,110.0,14026.0,20846.0,12630.0,47611.0,13668.0,7731.0,1042.0,25170.0,47611.0,ADANIENT.NS,,,,,,
Mar 2018,35924.0,33886.0,2038.0,6%,363.0,1250.0,664.0,487.0,23%,594.0,6.15,6%,110.0,14979.0,17637.0,23679.0,56405.0,10555.0,5526.0,1461.0,38864.0,56405.0,ADANIENT.NS,,,,,,
Mar 2019,40379.0,38409.0,1969.0,5%,504.0,1625.0,390.0,459.0,32%,506.0,5.82,6%,110.0,14646.0,11243.0,16537.0,42536.0,9020.0,5765.0,1511.0,26240.0,42536.0,ADANIENT.NS,,,,,,
Mar 2020,43403.0,41108.0,2294.0,5%,872.0,1572.0,472.0,1122.0,29%,1040.0,9.24,10%,110.0,16837.0,12419.0,17509.0,46875.0,10476.0,7347.0,1952.0,27099.0,46875.0,ADANIENT.NS,,,,,,
Mar 2021,39537.0,37031.0,2506.0,6%,494.0,1377.0,537.0,1086.0,31%,1046.0,7.49,12%,110.0,17049.0,16227.0,18231.0,51617.0,10838.0,8825.0,5503.0,26451.0,51617.0,ADANIENT.NS,,,,,,
Mar 2022,69420.0,65707.0,3714.0,5%,1012.0,2526.0,1248.0,952.0,50%,788.0,6.3,14%,110.0,22147.0,41604.0,37726.0,101586.0,30123.0,23544.0,4292.0,43627.0,101586.0,ADANIENT.NS,,,,,,
Mar 2023,127540.0,118722.0,8818.0,7%,834.0,3969.0,2436.0,3247.0,32%,2422.0,19.3,6%,114.0,32937.0,53200.0,55027.0,141278.0,56881.0,24025.0,6310.0,54062.0,141278.0,ADANIENT.NS,,,,,,
Mar 2024,96421.0,85044.0,11377.0,12%,1146.0,4555.0,3042.0,4926.0,33%,3335.0,25.37,5%,114.0,38962.0,65310.0,56200.0,160586.0,65978.0,35180.0,8701.0,50728.0,160586.0,ADANIENT.NS,,,,,,
Mar 2025,97895.0,83643.0,14252.0,15%,6403.0,5978.0,4211.0,10466.0,28%,8005.0,55.02,2%,115.0,50199.0,91819.0,55710.0,197843.0,77260.0,51516.0,9887.0,59180.0,197843.0,ADANIENT.NS,,,,,,
Mar 2017,502.0,98.0,403.0,80%,80.0,334.0,333.0,-184.0,-75%,-47.0,-0.37,-0%,1274.0,-71.0,4347.0,610.0,6160.0,4341.0,267.0,26.0,1525.0,6160.0,ADANIGREEN.NS,,,,,,
Mar 2018,1480.0,637.0,843.0,57%,42.0,552.0,543.0,-210.0,-35%,-138.0,-1.0,-0%,1564.0,-223.0,9864.0,4503.0,15709.0,9120.0,1725.0,87.0,4777.0,15709.0,ADANIGREEN.NS,,,,,,
Mar 2019,2058.0,532.0,1526.0,74%,73.0,1121.0,1062.0,-585.0,-19%,-475.0,-3.03,-0%,1564.0,369.0,11142.0,1582.0,14658.0,10388.0,743.0,77.0,3449.0,14658.0,ADANIGREEN.NS,,,,,,
Mar 2020,2549.0,1099.0,1450.0,57%,-111.0,995.0,394.0,-50.0,22%,-68.0,-0.15,-0%,1564.0,792.0,14867.0,1201.0,18424.0,12554.0,1208.0,477.0,4185.0,18424.0,ADANIGREEN.NS,,,,,,
Mar 2021,3124.0,883.0,2241.0,72%,391.0,1953.0,486.0,193.0,6%,182.0,1.34,-0%,1564.0,636.0,24209.0,2283.0,28692.0,16429.0,4452.0,502.0,7309.0,28692.0,ADANIGREEN.NS,,,,,,
Mar 2022,5133.0,1621.0,3512.0,68%,507.0,2617.0,849.0,553.0,12%,489.0,3.13,-0%,1564.0,1050.0,52832.0,3508.0,58954.0,28452.0,19899.0,574.0,10029.0,58954.0,ADANIGREEN.NS,,,,,,
