ticker,effective_date
HINDUNILVR.NS,2021-09-30
HINDZINC.NS,2021-09-30
ICICIBANK.NS,2021-09-30
ICICIGI.NS,2021-09-30
ICICIPRULI.NS,2021-09-30
IDEA.NS,2021-09-30
IDFCFIRSTB.NS,2021-09-30
IGL.NS,2021-09-30
INDHOTEL.NS,2021-09-30
INDIAMART.NS,2021-09-30
INDIANB.NS,2021-09-30
INDIGO.NS,2021-09-30
INDUSINDBK.NS,2021-09-30
INDUSTOWER.NS,2021-09-30
INFY.NS,2021-09-30
IOC.NS,2021-09-30
IPCALAB.NS,2021-09-30
IRCTC.NS,2021-09-30
IRFC.NS,2021-09-30
ISEC.NS,2021-09-30
ITC.NS,2021-09-30
JINDALSTEL.NS,2021-09-30
JSWENERGY.NS,2021-09-30
JSWSTEEL.NS,2021-09-30
JUBLFOOD.NS,2021-09-30
KOTAKBANK.NS,2021-09-30
LALPATHLAB.NS,2021-09-30
LAURUSLABS.NS,2021-09-30
LICHSGFIN.NS,2021-09-30
LT.NS,2021-09-30
LTF.NS,2021-09-30
LTIM.NS,2021-09-30
LTTS.NS,2021-09-30
LUPIN.NS,2021-09-30
M&M.NS,2021-09-30
M&MFIN.NS,2021-09-30
MANAPPURAM.NS,2021-09-30
MARICO.NS,2021-09-30
MARUTI.NS,2021-09-30
MCDOWELL-N.NS,2021-09-30
MFSL.NS,2021-09-30
MGL.NS,2021-09-30
MPHASIS.NS,2021-09-30
MRF.NS,2021-09-30
MUTHOOTFIN.NS,2021-09-30
NAM-INDIA.NS,2021-09-30
NATIONALUM.NS,2021-09-30
NAVINFLUOR.NS,2021-09-30
NESTLEIND.NS,2021-09-30
NMDC.NS,2021-09-30
NTPC.NS,2021-09-30
OBEROIRLTY.NS,2021-09-30
ONGC.NS,2021-09-30
PAGEIND.NS,2021-09-30
PEL.NS,2021-09-30
PETRONET.NS,2021-09-30
PFC.NS,2021-09-30
PFIZER.NS,2021-09-30
PGHH.NS,2021-09-30
PIDILITIND.NS,2021-09-30
PIIND.NS,2021-09-30
PNB.NS,2021-09-30
POLYCAB.NS,2021-09-30
POWERGRID.NS,2021-09-30
PRESTIGE.NS,2021-09-30
RAMCOCEM.NS,2021-09-30
RBLBANK.NS,2021-09-30
RECLTD.NS,2021-09-30
RELIANCE.NS,2021-09-30
SAIL.NS,2021-09-30
SANOFI.NS,2021-09-30
SBICARD.NS,2021-09-30
SBILIFE.NS,2021-09-30
SBIN.NS,2021-09-30
SHREECEM.NS,2021-09-30
SHRIRAMFIN.NS,2021-09-30
SIEMENS.NS,2021-09-30
SUNPHARMA.NS,2021-09-30
SUNTV.NS,2021-09-30
SYNGENE.NS,2021-09-30
TATACHEM.NS,2021-09-30
TATACOMM.NS,2021-09-30
TATACONSUM.NS,2021-09-30
TATAELXSI.NS,2021-09-30
TATAMOTORS.NS,2021-09-30
TATAPOWER.NS,2021-09-30
TATASTEEL.NS,2021-09-30
TCS.NS,2021-09-30
